ID,Nombre,Precio
1,Monitor LED 24",250.00
2,Teclado Gamer Wireless,120.00
3,Procesador AMD Ryzen 5,350.00
4,Memoria RAM 16GB DDR4,60.00
5,Disco Duro Externo 1TB,80.00
6,Laptop Dell Inspiron 15,800.00
7,Tarjeta Gráfica NVIDIA GeForce,200.00
8,Fuente de Poder 650W,100.00
9,Cámara Web Logitech C270,30.00
10,Tablet Apple iPad Air,500.00
11,Mouse Inalámbrico Logitech,25.00
12,Procesador Intel Core i7,450.00
13,Monitor Curvo 32",400.00
14,Teclado Mecánico Razer,150.00
15,Memoria RAM 32GB DDR4,120.00
16,Disco Duro Interno 2TB,150.00
17,Laptop HP Envy x360,900.00
18,Tarjeta Gráfica AMD Radeon,250.00
19,Fuente de Poder 850W,150.00
20,Cámara Web Razer Kiyo,50.00
21,Tablet Samsung Galaxy Tab,300.00
22,Monitor LED 27",300.00
23,Teclado Gamer Razer BlackWidow,180.00
24,Procesador AMD Ryzen 7,500.00
25,Memoria RAM 64GB DDR4,250.00
26,Disco Duro Externo 2TB,120.00
27,Laptop Lenovo ThinkPad,1000.00
28,Tarjeta Gráfica NVIDIA Quadro,400.00
29,Fuente de Poder 1000W,200.00
30,Cámara Web Logitech C920,40.00
31,Tablet Apple iPad Pro,700.00
32,Monitor Curvo 34",500.00
33,Teclado Inalámbrico Microsoft,30.00
34,Procesador Intel Core i9,600.00
35,Memoria RAM 128GB DDR4,500.00
36,Disco Duro Interno 4TB,300.00
37,Laptop Dell XPS 13,1200.00
38,Tarjeta Gráfica AMD Radeon Pro,350.00
39,Fuente de Poder 1200W,250.00
40,Cámara Web Razer Seiren,60.00
41,Tablet Samsung Galaxy Tab S,400.00
42,Monitor LED 32",350.00
43,Teclado Gamer Corsair,200.00
44,Procesador AMD Ryzen 9,700.00
45,Memoria RAM 256GB DDR4,1000.00
46,Disco Duro Externo 4TB,250.00
47,Laptop HP ZBook 15,1500.00
48,Tarjeta Gráfica NVIDIA Tesla,600.00
49,Fuente de Poder 1500W,300.00
50,Cámara Web Logitech C922,50.00
51,Tablet Apple iPad mini,200.00
52,Monitor Curvo 40",600.00
53,Teclado Inalámbrico Logitech,35.00
54,Procesador Intel Core i5,300.00
55,Memoria RAM 512GB DDR4,1500.00
56,Disco Duro Interno 8TB,500.00
57,Laptop Lenovo ThinkPad P,1800.00
58,Tarjeta Gráfica AMD Radeon RX,400.00
59,Fuente de Poder 1800W,350.00
60,Cámara Web Razer Kiyo Pro,70.00
61,Tablet Samsung Galaxy Tab A,250.00
62,Monitor LED 40",450.00
63,Teclado Gamer Razer Ornata,220.00
64,Procesador AMD Ryzen Threadripper,1000.00
65,Memoria RAM 1TB DDR4,2500.00
66,Disco Duro Externo 8TB,350.00
67,Laptop Dell Alienware,2000.00
68,Tarjeta Gráfica NVIDIA GeForce RTX,800.00
69,Fuente de Poder 2000W,400.00
70,Cámara Web Logitech C930,60.00
71,Tablet Apple iPad Air 2,350.00
72,Monitor Curvo 43",700.00
73,Teclado Inalámbrico Microsoft,40.00
74,Procesador Intel Core i3,200.00
75,Memoria RAM 2TB DDR4,4000.00
76,Disco Duro Interno 16TB,800.00
77,Laptop HP Envy 17,2500.00
78,Tarjeta Gráfica AMD Radeon Pro WX,500.00
79,Fuente de Poder 2500W,500.00
80,Cámara Web Razer Seiren X,80.00
81,Tablet Samsung Galaxy Tab S2,300.00
82,Monitor LED 43",500.00
83,Teclado Gamer Corsair K95,280.00
84,Procesador AMD Ryzen 5 Pro,400.00
85,Memoria RAM 4TB DDR4,6000.00
86,Disco Duro Externo 16TB,500.00
87,Laptop Lenovo ThinkPad X1,3000.00
88,Tarjeta Gráfica NVIDIA Quadro RTX,1000.00
89,Fuente de Poder 3000W,600.00
90,Cámara Web Logitech C922 Pro,70.00
91,Tablet Apple iPad Pro 11,800.00
92,Monitor Curvo 49",900.00
93,Teclado Inalámbrico Logitech,45.00
94,Procesador Intel Core i7 Pro,700.00
95,Memoria RAM 8TB DDR4,10000.00
96,Disco Duro Interno 32TB,1200.00
97,Laptop Dell Inspiron 17,3500.00
98,Tarjeta Gráfica AMD Radeon RX 6800,600.00
99,Fuente de Poder 3500W,700.00
100,Cámara Web Razer Kiyo Pro Max,100.00
